t_s,shoulder_ref_deg,shoulder_act_deg,shoulder_err_deg,elbow_ref_deg,elbow_act_deg,elbow_err_deg,tau_shoulder_Nm,tau_elbow_Nm,lift_N,drag_N,alpha_humerus_deg,alpha_radius_deg,P_shoulder_W,P_elbow_W,P_total_W
0.004167,3.9252,0.0000,3.9252,16.9959,0.0000,16.9959,0.079543,-0.005690,0.000000,0.000000,0.0000,0.0000,0.000000,-0.000000,0.000000
0.008333,7.8396,-0.2371,8.0767,19.7102,2.1342,17.5761,0.066417,-0.006599,-0.012860,0.007653,90.0000,-89.4524,-0.421540,-0.377417,-0.798957
0.012500,11.7326,-0.4889,12.2215,22.3705,6.6405,15.7300,0.053361,-0.007490,-0.035100,0.028564,90.0000,-89.6058,-0.152874,-0.646481,-0.799355
0.016667,15.5934,-0.3373,15.9306,24.9695,12.3268,12.6427,0.040417,-0.008360,-0.197478,0.064002,-90.0000,-88.9674,0.240826,-0.836010,-0.595184
0.020833,19.4114,0.4536,18.9578,27.5000,18.2951,9.2049,0.027613,-0.009207,-1.091202,0.155956,-90.0000,-86.3986,0.492417,-0.920735,-0.428318
0.025000,23.1763,1.9934,21.1829,29.9551,24.2634,5.6917,0.014936,-0.010029,-2.975091,0.439871,-90.0000,-83.3098,0.460878,-1.002936,-0.542059
0.029167,26.8776,4.7304,22.1472,32.3282,29.1555,3.1727,0.002266,-0.010824,-8.332110,2.051043,-90.0000,-74.2734,0.157773,-0.303035,-0.145263
0.033333,30.5052,9.7576,20.7477,34.6126,29.0705,5.5421,-0.010923,-0.011589,-9.713657,3.263195,-90.0000,-65.9607,-1.092337,0.750625,-0.341712
0.037500,34.0493,15.3001,18.7491,36.8022,27.7055,9.0967,-0.024751,-0.012322,-11.109367,2.909795,-90.0000,-72.9189,-2.193654,-0.029633,-2.223287
0.041667,37.5000,20.5573,16.9427,38.8909,29.3019,9.5890,-0.038940,-0.013021,-13.705811,3.338571,-90.0000,-74.4935,-3.432500,-0.527439,-3.959939
0.045833,40.8479,26.0908,14.7572,40.8730,32.3626,8.5103,-0.053709,-0.013685,-18.117087,4.602044,-90.0000,-73.5799,-5.152686,-0.774618,-5.927305
0.050000,44.0839,32.0384,12.0455,42.7430,35.8659,6.8772,-0.069232,-0.014311,-20.743869,5.683133,-90.0000,-71.8149,-6.921530,-0.847638,-7.769168
0.054167,47.1990,38.0067,9.1924,44.4959,39.3643,5.1317,-0.085217,-0.014898,-21.419222,6.302834,-90.0000,-69.9613,-8.521698,-0.864669,-9.386367
0.058333,50.1848,43.9750,6.2098,46.1269,42.7431,3.3838,-0.101560,-0.015444,-21.661466,6.803980,-90.0000,-68.0676,-10.155986,-0.859438,-11.015424
0.062500,53.0330,49.9337,3.0993,47.6314,45.6827,1.9487,-0.118153,-0.015948,-19.308820,6.683463,-90.0000,-64.7684,-11.739198,-0.540758,-12.279956
0.066667,55.7359,55.8696,-0.1337,49.0054,46.3259,2.6794,-0.134873,-0.016408,-14.146604,5.521933,-90.0000,-59.3254,-13.388709,0.219334,-13.169375
