t_s,P_rigid_W,P_membrane_W,lift_rigid_N,lift_membrane_N,drag_rigid_N,drag_membrane_N,elastic_energy_J,effective_alpha_deg
0.0042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.78453289,4.2037
0.0083,-0.798957,12.105764,-0.012860,-0.006854,0.007653,0.002487,2.56731266,9.1271
0.0125,-0.799355,11.222259,-0.035100,-0.018709,0.028564,0.009283,2.39162550,15.2392
0.0167,-0.595184,10.512040,-0.197478,-0.245229,0.064002,0.071884,2.20971827,21.7013
0.0208,-0.428318,9.917560,-1.091202,-1.354745,0.155956,0.175110,2.05827599,22.6151
0.0250,-0.542059,9.024725,-2.975091,-3.692372,0.439871,0.493654,1.90329770,23.8894
0.0292,-0.145263,8.915620,-8.332110,-10.334739,2.051043,2.300696,1.80256616,25.7677
0.0333,-0.341712,7.969234,-9.713657,-12.419496,3.263195,3.727919,1.66228233,29.4992
0.0375,-2.223287,5.859172,-11.109367,-14.114471,2.909795,3.344633,1.61407298,29.1112
0.0417,-3.959939,3.832746,-13.705811,-17.347014,3.338571,3.846488,1.55608585,37.1759
0.0458,-5.927305,1.477265,-18.117087,-22.750639,4.602044,5.265387,1.47838803,26.9507
0.0500,-7.769168,-0.433112,-20.743869,-25.674730,5.683133,6.397281,1.45756038,44.3459
0.0542,-9.386367,-1.874457,-21.419222,-26.433652,6.302834,7.065349,1.49171907,50.4659
0.0583,-11.015424,-3.252557,-21.661466,-26.673245,6.803980,7.600724,1.54095559,9.8096
0.0625,-12.279956,-3.981325,-19.308820,-23.714683,6.683463,7.440044,1.64691076,21.0938
0.0667,-13.169375,-3.296462,-14.146604,-18.215005,5.521933,5.793635,1.71736636,56.6744
0.0708,-10.199429,-3.099534,-9.582558,-11.656365,3.186444,4.328029,1.87630509,76.5374
0.0750,-10.398358,1.428816,-5.811497,-7.371077,2.364713,2.208910,1.98982677,75.5148
0.0792,-7.721930,2.164860,-3.174542,-3.747640,1.242421,1.408751,2.06767090,11.0512
0.0833,-4.695172,5.528377,-1.334568,-1.582447,0.472003,0.548715,2.09662854,42.8317
0.0875,-3.458358,9.104254,-0.123241,-0.271856,0.051494,0.060629,2.13696230,14.2754
0.0917,2.529627,9.876915,-0.044707,0.056672,0.016619,0.013397,2.01956317,54.3530
0.0958,1.996282,-6.856553,0.347280,0.301980,0.060750,0.059218,1.97344358,81.9704
0.1000,0.724419,9.065594,0.003622,0.097937,0.001452,0.030316,1.93428765,41.2292
0.1042,-0.998869,7.739222,-0.064718,-0.286505,0.010186,0.071805,1.92127683,53.7962
0.1083,-8.784325,5.976250,-0.534772,-1.293376,0.217752,0.268252,1.94623653,20.7910
0.1125,-9.804431,-2.819209,-2.790093,-2.161261,1.148108,0.851363,1.91412395,17.1016
0.1167,-4.815012,3.292404,-1.770471,-3.130348,0.299203,0.760071,1.97473300,22.6731
0.1208,2.814923,-3.513996,0.467385,0.689731,0.123691,0.161413,1.90341585,50.8866
0.1250,2.877370,-4.447363,0.466112,0.661474,0.130869,0.135353,1.92905727,13.0555
0.1292,-1.254646,-6.042503,0.079977,0.065156,0.033372,0.017145,1.90405999,13.7229
0.1333,-2.357066,5.871990,-0.280343,0.029454,0.083977,0.008717,1.88305735,35.5637
0.1375,0.078302,5.230794,-0.243450,-0.687340,0.037042,0.246395,1.89056180,24.4597
0.1417,-0.614839,-7.562668,0.044182,-0.384699,0.015546,0.069954,1.88876822,22.5548
0.1458,1.198249,5.236527,0.103484,-0.025420,0.017168,0.007091,1.89516319,5.1817
0.1500,2.904991,-7.056945,0.746065,0.194583,0.106361,0.033956,1.89527809,30.7221
